task,origin,model,segment,metric,value,n
C2 ast|played,O1 valid=2024-12,baseline: expanding season mean,star (>=30),MAE,1.7392028056230775,1122
C2 ast|played,O1 valid=2024-12,baseline: expanding season mean,starter (20-30),MAE,1.3846207477951005,1437
C2 ast|played,O1 valid=2024-12,baseline: expanding season mean,bench (10-20),MAE,1.0968290142552672,1014
C2 ast|played,O1 valid=2024-12,baseline: expanding season mean,fringe (<10),MAE,0.702308330549394,474
C2 ast|played,O1 valid=2024-12,baseline: expanding season mean,unknown (no history),MAE,2.3236041328040224,7
C2 ast|played,O1 valid=2024-12,baseline: EWMA (halflife 5),ALL,MAE,1.3275164312831562,4054
C2 ast|played,O1 valid=2024-12,baseline: EWMA (halflife 5),star (>=30),MAE,1.757094259456289,1122
C2 ast|played,O1 valid=2024-12,baseline: EWMA (halflife 5),starter (20-30),MAE,1.3663123723826784,1437
C2 ast|played,O1 valid=2024-12,baseline: EWMA (halflife 5),bench (10-20),MAE,1.0840578473694928,1014
C2 ast|played,O1 valid=2024-12,baseline: EWMA (halflife 5),fringe (<10),MAE,0.6991584135775462,474
C2 ast|played,O1 valid=2024-12,baseline: EWMA (halflife 5),unknown (no history),MAE,2.3236041328040224,7
C2 ast|played,O1 valid=2024-12,ridge,ALL,MAE,1.3169304300386697,4054
C2 ast|played,O1 valid=2024-12,ridge,star (>=30),MAE,1.7426004124921546,1122
C2 ast|played,O1 valid=2024-12,ridge,starter (20-30),MAE,1.3479560160213102,1437
C2 ast|played,O1 valid=2024-12,ridge,bench (10-20),MAE,1.0878430277031346,1014
C2 ast|played,O1 valid=2024-12,ridge,fringe (<10),MAE,0.7061255863133333,474
C2 ast|played,O1 valid=2024-12,ridge,unknown (no history),MAE,1.2641639334926225,7
C2 ast|played,O1 valid=2024-12,LightGBM,ALL,MAE,1.3348799833843508,4054
C2 ast|played,O1 valid=2024-12,LightGBM,star (>=30),MAE,1.7943325115888173,1122
C2 ast|played,O1 valid=2024-12,LightGBM,starter (20-30),MAE,1.3577262894150874,1437
C2 ast|played,O1 valid=2024-12,LightGBM,bench (10-20),MAE,1.0827496201898918,1014
C2 ast|played,O1 valid=2024-12,LightGBM,fringe (<10),MAE,0.7269447520019694,474
C2 ast|played,O1 valid=2024-12,LightGBM,unknown (no history),MAE,0.6899670609344019,7
D pts UNCONDITIONAL,O1 valid=2024-12,naive: conditional season mean (selection-biased),ALL,MAE,5.115996933351373,6009
D pts UNCONDITIONAL,O1 valid=2024-12,naive: conditional season mean (selection-biased),star (>=30),MAE,7.904674894400621,1319
D pts UNCONDITIONAL,O1 valid=2024-12,naive: conditional season mean (selection-biased),starter (20-30),MAE,5.77820882875391,1759
D pts UNCONDITIONAL,O1 valid=2024-12,naive: conditional season mean (selection-biased),bench (10-20),MAE,4.24671636460456,1625
D pts UNCONDITIONAL,O1 valid=2024-12,naive: conditional season mean (selection-biased),fringe (<10),MAE,2.1953261877920776,1258
D pts UNCONDITIONAL,O1 valid=2024-12,naive: conditional season mean (selection-biased),unknown (no history),MAE,10.192825422729259,48
D pts UNCONDITIONAL,O1 valid=2024-12,naive: unconditional season mean (0 for misses),ALL,MAE,4.568580100795307,6009
D pts UNCONDITIONAL,O1 valid=2024-12,naive: unconditional season mean (0 for misses),star (>=30),MAE,7.715759354744289,1319
D pts UNCONDITIONAL,O1 valid=2024-12,naive: unconditional season mean (0 for misses),starter (20-30),MAE,5.567329109499382,1759
D pts UNCONDITIONAL,O1 valid=2024-12,naive: unconditional season mean (0 for misses),bench (10-20),MAE,3.4752785454109247,1625
D pts UNCONDITIONAL,O1 valid=2024-12,naive: unconditional season mean (0 for misses),fringe (<10),MAE,1.4043176493911385,1258
D pts UNCONDITIONAL,O1 valid=2024-12,naive: unconditional season mean (0 for misses),unknown (no history),MAE,1.4295852903137976,48
