task,origin,model,segment,metric,value,n
C1 pts|played,O3 valid=2025-02,ridge,star (>=30),MAE,5.991054896962705,979
C1 pts|played,O3 valid=2025-02,ridge,starter (20-30),MAE,4.727364506638827,1308
C1 pts|played,O3 valid=2025-02,ridge,bench (10-20),MAE,3.9133317025000536,1034
C1 pts|played,O3 valid=2025-02,ridge,fringe (<10),MAE,2.7218619339766956,411
C1 pts|played,O3 valid=2025-02,ridge,unknown (no history),MAE,4.859618935158868,7
C1 pts|played,O3 valid=2025-02,LightGBM,ALL,MAE,4.670343154919642,3739
C1 pts|played,O3 valid=2025-02,LightGBM,star (>=30),MAE,6.120196172071414,979
C1 pts|played,O3 valid=2025-02,LightGBM,starter (20-30),MAE,4.736428202985878,1308
C1 pts|played,O3 valid=2025-02,LightGBM,bench (10-20),MAE,3.9420040167032173,1034
C1 pts|played,O3 valid=2025-02,LightGBM,fringe (<10),MAE,2.8529846171441475,411
C1 pts|played,O3 valid=2025-02,LightGBM,unknown (no history),MAE,3.840583337675253,7
C2 ast|played,O3 valid=2025-02,baseline: expanding season mean,ALL,MAE,1.3489847682142697,3739
C2 ast|played,O3 valid=2025-02,baseline: expanding season mean,star (>=30),MAE,1.7847585316638217,979
C2 ast|played,O3 valid=2025-02,baseline: expanding season mean,starter (20-30),MAE,1.3679095048048553,1308
C2 ast|played,O3 valid=2025-02,baseline: expanding season mean,bench (10-20),MAE,1.1398972991650331,1034
C2 ast|played,O3 valid=2025-02,baseline: expanding season mean,fringe (<10),MAE,0.7672745800163613,411
C2 ast|played,O3 valid=2025-02,baseline: expanding season mean,unknown (no history),MAE,1.9065934065934067,7
C2 ast|played,O3 valid=2025-02,baseline: EWMA (halflife 5),ALL,MAE,1.3411757223622276,3739
C2 ast|played,O3 valid=2025-02,baseline: EWMA (halflife 5),star (>=30),MAE,1.7682739380311199,979
C2 ast|played,O3 valid=2025-02,baseline: EWMA (halflife 5),starter (20-30),MAE,1.380111642508082,1308
C2 ast|played,O3 valid=2025-02,baseline: EWMA (halflife 5),bench (10-20),MAE,1.1241096780360889,1034
C2 ast|played,O3 valid=2025-02,baseline: EWMA (halflife 5),fringe (<10),MAE,0.7363850395227789,411
C2 ast|played,O3 valid=2025-02,baseline: EWMA (halflife 5),unknown (no history),MAE,1.9065934065934067,7
C2 ast|played,O3 valid=2025-02,ridge,ALL,MAE,1.3225196341272758,3739
C2 ast|played,O3 valid=2025-02,ridge,star (>=30),MAE,1.749149098425923,979
C2 ast|played,O3 valid=2025-02,ridge,starter (20-30),MAE,1.348438491989466,1308
C2 ast|played,O3 valid=2025-02,ridge,bench (10-20),MAE,1.1084222554414738,1034
C2 ast|played,O3 valid=2025-02,ridge,fringe (<10),MAE,0.7652363738480731,411
C2 ast|played,O3 valid=2025-02,ridge,unknown (no history),MAE,1.157947906091676,7
C2 ast|played,O3 valid=2025-02,LightGBM,ALL,MAE,1.346815857716919,3739
C2 ast|played,O3 valid=2025-02,LightGBM,star (>=30),MAE,1.8191179253771703,979
C2 ast|played,O3 valid=2025-02,LightGBM,starter (20-30),MAE,1.3559031290774446,1308
C2 ast|played,O3 valid=2025-02,LightGBM,bench (10-20),MAE,1.1100002092106376,1034
C2 ast|played,O3 valid=2025-02,LightGBM,fringe (<10),MAE,0.7976370177597516,411
C2 ast|played,O3 valid=2025-02,LightGBM,unknown (no history),MAE,0.8196742289935081,7
D pts UNCONDITIONAL,O3 valid=2025-02,naive: conditional season mean (selection-biased),ALL,MAE,5.52757404440573,5953
D pts UNCONDITIONAL,O3 valid=2025-02,naive: conditional season mean (selection-biased),star (>=30),MAE,8.81693514117104,1230
D pts UNCONDITIONAL,O3 valid=2025-02,naive: conditional season mean (selection-biased),starter (20-30),MAE,6.215734575230666,1750
D pts UNCONDITIONAL,O3 valid=2025-02,naive: conditional season mean (selection-biased),bench (10-20),MAE,4.536788850919688,1616
D pts UNCONDITIONAL,O3 valid=2025-02,naive: conditional season mean (selection-biased),fringe (<10),MAE,2.4486234855283273,1290
D pts UNCONDITIONAL,O3 valid=2025-02,naive: conditional season mean (selection-biased),unknown (no history),MAE,10.34488771097782,67
D pts UNCONDITIONAL,O3 valid=2025-02,naive: unconditional season mean (0 for misses),ALL,MAE,4.787743742137725,5953
D pts UNCONDITIONAL,O3 valid=2025-02,naive: unconditional season mean (0 for misses),star (>=30),MAE,8.317805499954897,1230
D pts UNCONDITIONAL,O3 valid=2025-02,naive: unconditional season mean (0 for misses),starter (20-30),MAE,5.7702441036061725,1750
D pts UNCONDITIONAL,O3 valid=2025-02,naive: unconditional season mean (0 for misses),bench (10-20),MAE,3.745176687850511,1616
D pts UNCONDITIONAL,O3 valid=2025-02,naive: unconditional season mean (0 for misses),fringe (<10),MAE,1.5623990876235234,1290
D pts UNCONDITIONAL,O3 valid=2025-02,naive: unconditional season mean (0 for misses),unknown (no history),MAE,1.5658238819370727,67
D pts UNCONDITIONAL,O3 valid=2025-02,direct LightGBM on all scheduled rows,ALL,MAE,4.24257752510983,5953
D pts UNCONDITIONAL,O3 valid=2025-02,direct LightGBM on all scheduled rows,star (>=30),MAE,7.376995490339117,1230
D pts UNCONDITIONAL,O3 valid=2025-02,direct LightGBM on all scheduled rows,starter (20-30),MAE,4.948294910576866,1750
D pts UNCONDITIONAL,O3 valid=2025-02,direct LightGBM on all scheduled rows,bench (10-20),MAE,3.417915581457113,1616
D pts UNCONDITIONAL,O3 valid=2025-02,direct LightGBM on all scheduled rows,fringe (<10),MAE,1.4973169685699568,1290
D pts UNCONDITIONAL,O3 valid=2025-02,direct LightGBM on all scheduled rows,unknown (no history),MAE,1.0142237501827887,67
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[PTS|played],ALL,MAE,4.199775232580003,5953
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[PTS|played],star (>=30),MAE,7.208631333017752,1230
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[PTS|played],starter (20-30),MAE,4.909218590367084,1750
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[PTS|played],bench (10-20),MAE,3.4010491020721627,1616
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[PTS|played],fringe (<10),MAE,1.5418660445481234,1290
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[PTS|played],unknown (no history),MAE,0.871796125057233,67
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[MIN|played] x prior PTS/min,ALL,MAE,4.198611412607272,5953
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[MIN|played] x prior PTS/min,star (>=30),MAE,7.27747695404235,1230
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[MIN|played] x prior PTS/min,starter (20-30),MAE,4.954309959842233,1750
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[MIN|played] x prior PTS/min,bench (10-20),MAE,3.35240634302553,1616
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[MIN|played] x prior PTS/min,fringe (<10),MAE,1.4642829879765367,1290
D pts UNCONDITIONAL,O3 valid=2025-02,decomposed: P(play) x E[MIN|played] x prior PTS/min,unknown (no history),MAE,0.9937455408374029,67
