endpoint,gate,incumbent,candidate,relative_improvement,ci_lo,ci_hi,ci_excludes_zero,p_value,clears_bar,n_rows,n_dates
availability_brier,True,0.07369690465112128,0.07320822906089365,0.006630883515949544,0.00413118270150905,0.01126233371017146,True,0.0005,False,37596,170
minutes_mae,True,4.732972564055368,4.711710574924245,0.004492311933645309,0.0027795778966874813,0.007343703706105983,True,0.0005,False,26498,170
uncond_pts_mae,False,3.9744213465010567,3.9616778909649235,0.0032063675250114192,0.0025026851192344775,0.004773900815635195,True,0.0005,False,37596,170
