recall,false_positive_rate,availability_brier,minutes_mae
0.4,0.0,0.07146189616482217,4.6396987628021025
0.4,0.05,0.07178116129255233,4.666863073130392
0.4,0.1,0.07183658862627065,4.677210235318001
0.6,0.0,0.071128799157921,4.611474938850179
0.6,0.05,0.07174580722435063,4.6468836927913575
0.6,0.1,0.07176089645762779,4.6633292753212015
0.8,0.0,0.0707448927304506,4.587182469937162
0.8,0.05,0.07139163764189503,4.618794243385179
0.8,0.1,0.07158134338614727,4.644189773316939
1.0,0.0,0.0703864765659167,4.546629212306684
1.0,0.05,0.07129586528938274,4.589114350605917
1.0,0.1,0.0713592927589619,4.6155107799513395
