cohort,oct_rows,rest_rows,oct_brier,rest_brier,brier_ratio,oct_min_mae,rest_min_mae,min_mae_ratio
ALL,2429,35212,0.07006841809823038,0.06589663320052504,1.0633080127934684,4.571800471924592,4.527740698029527,1.0097310726990705
bench (10-20),526,9067,0.053933589393170986,0.05898753064496268,0.9143218711389933,4.8880350121905405,5.125203408157426,0.953725076435132
fringe (<10),261,5399,0.09482365359537685,0.09188229433450415,1.0320122530915965,4.474834147200048,4.871076327451702,0.9186540810254666
star (>=30),556,7045,0.04606583898870314,0.061813225340638045,0.7452424418050541,4.088192434490759,3.7873773969507134,1.079425683266272
starter (20-30),891,12928,0.07443275710216428,0.06348840116252653,1.172383549423789,4.5786802791584265,4.426443836910374,1.034392493807018
unknown (no history),195,773,0.12895360459309205,0.04293347740373231,3.0035676677305854,6.184167925861826,4.673939844500385,1.3231167134379058
