cohort,n,incumbent,candidate,delta_pct,regresses,endpoint
control: vacated_minutes < 5,1009,0.05738454221432669,0.05761078465166555,0.003942567608082741,False,availability_brier
v4: blowout_prob top decile,3800,0.0798334671584499,0.07983110421476809,-2.95984098638138e-05,False,availability_brier
bench (10-20),9867,0.0684612118567082,0.06829593138928272,-0.0024142205921130217,False,availability_brier
starter (20-30),12220,0.06837176574714122,0.06801477000701454,-0.005221391260347957,False,availability_brier
event: vacated_minutes >= 30,28762,0.07740175463961813,0.07690568525212647,-0.00640901992211089,False,availability_brier
ALL,37596,0.07369690465112128,0.07320822906089365,-0.006630883515949535,False,availability_brier
unknown (no history),873,0.035797408673920166,0.035550628870312385,-0.006893789599568668,False,availability_brier
fringe (<10),6184,0.10388956697628585,0.10313378136327733,-0.007274894245935512,False,availability_brier
event: star_out = 1,9094,0.08218131801664737,0.08124353804214032,-0.01141110896173604,False,availability_brier
star (>=30),8452,0.06933209329030596,0.06844594561231632,-0.012781204719712998,False,availability_brier
"v4: stakes-flagged (locked, late)",4755,0.09317557178533252,0.09139431270325371,-0.019117232638857933,False,availability_brier
control: vacated_minutes < 5,564,4.542025997957964,4.616277867682547,0.016347742121680057,True,minutes_mae
starter (20-30),9618,4.627294479761192,4.62932648197636,0.00043913397430309504,False,minutes_mae
v4: blowout_prob top decile,2644,4.881673943884555,4.878903479660262,-0.000567523406138868,False,minutes_mae
ALL,26498,4.732972564055368,4.711710574924245,-0.004492311933645519,False,minutes_mae
"v4: stakes-flagged (locked, late)",3306,5.0739657163452385,5.0482009504089085,-0.005077836031357404,False,minutes_mae
event: vacated_minutes >= 30,20493,4.7835208783003615,4.758026694266751,-0.005329585609056455,False,minutes_mae
star (>=30),6648,3.7732732000527824,3.753127295232685,-0.005339105798068256,False,minutes_mae
event: star_out = 1,6474,5.1734481154020076,5.141014650117741,-0.006269216306182305,False,minutes_mae
bench (10-20),7227,5.569232208233261,5.533802281963932,-0.0063617254487883705,False,minutes_mae
fringe (<10),2972,5.1819724637653035,5.119834835611938,-0.011991115079800224,False,minutes_mae
unknown (no history),33,5.291064570691551,5.039885721064732,-0.04747227070676053,False,minutes_mae
control: vacated_minutes < 5,1009,3.2902902152390863,3.290654249111505,0.0001106388338429437,False,uncond_pts_mae
v4: blowout_prob top decile,3800,4.057631694770051,4.057375332626769,-6.318023974730635e-05,False,uncond_pts_mae
bench (10-20),9867,3.139729031194537,3.1353155888779884,-0.0014056761818294838,False,uncond_pts_mae
starter (20-30),12220,4.594865044637092,4.581983483034958,-0.0028034689761277268,False,uncond_pts_mae
star (>=30),8452,6.246847168208953,6.228025769821361,-0.003012943630728931,False,uncond_pts_mae
ALL,37596,3.9744213465010567,3.9616778909649235,-0.003206367525011435,False,uncond_pts_mae
event: star_out = 1,9094,4.187230184034741,4.170688827796467,-0.003950429164688226,False,uncond_pts_mae
event: vacated_minutes >= 30,28762,4.066783655030694,4.050501103824265,-0.0040037908547917375,False,uncond_pts_mae
"v4: stakes-flagged (locked, late)",4755,4.312980513433871,4.278337402252021,-0.008032290216462982,False,uncond_pts_mae
fringe (<10),6184,1.4910140197162918,1.472786505602664,-0.012224911283594752,False,uncond_pts_mae
unknown (no history),873,0.31455301622489984,0.307284482696389,-0.023107499065639032,False,uncond_pts_mae
